,index,batsman,bowler,P0,P1,P2,P3,P4,P6,bowler_cluster,batsman_cluster
226,6756,KA Pollard,AF Milne,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.0,1.0
227,6816,KA Pollard,KV Sharma,0.368421052631579,0.473684210526316,0,0.105263157894737,0,0.0526315789473684,3.0,1.0
228,6752,KA Pollard,AB McDonald,0,0,0.2,0,0.2,0.6,4.0,1.0
229,6801,KA Pollard,J Theron,0.428571428571429,0.285714285714286,0.142857142857143,0,0.142857142857143,0,4.0,1.0
230,6767,KA Pollard,B Laughlin,0.571428571428571,0.142857142857143,0,0,0.285714285714286,0,4.0,1.0
231,6858,KA Pollard,Rashid Khan,0.571428571428571,0.428571428571429,0,0,0,0,2.0,1.0
232,6751,KA Pollard,AB Dinda,0.272727272727273,0.545454545454545,0,0,0.181818181818182,0,5.0,1.0
233,6851,KA Pollard,R Dhawan,0.25,0.625,0,0,0,0.125,4.0,1.0
234,6853,KA Pollard,R Sathish,0.333333333333333,0,0.166666666666667,0,0,0.5,0.0,1.0
235,6824,KA Pollard,MA Starc,0.230769230769231,0.230769230769231,0.307692307692308,0,0.230769230769231,0,2.0,1.0
236,6844,KA Pollard,PC Valthaty,0.5,0,0.25,0,0,0.25,0.0,1.0
237,6805,KA Pollard,JE Taylor,0.5,0.25,0.125,0,0,0.125,0.0,1.0
238,6876,KA Pollard,SMSM Senanayake,0.2,0.6,0,0,0,0.2,0.0,1.0
239,6871,KA Pollard,Shakib Al Hasan,0.478260869565217,0.304347826086957,0.0869565217391304,0,0.130434782608696,0,3.0,1.0
240,6770,KA Pollard,BA Stokes,0.333333333333333,0.5,0,0,0.166666666666667,0,4.0,1.0
241,6744,KA Pollard,A Kumble,0.777777777777778,0.111111111111111,0,0.111111111111111,0,0,2.0,1.0
242,6782,KA Pollard,DE Bollinger,0.375,0,0.125,0,0.25,0.25,2.0,1.0
243,6850,KA Pollard,R Bhatia,0.272727272727273,0.545454545454545,0,0,0.136363636363636,0.0454545454545455,5.0,1.0
244,6886,KA Pollard,VS Malik,0,0.5,0,0,0.5,0,4.0,1.0
245,6864,KA Pollard,S Badree,0.5,0.5,0,0,0,0,4.0,1.0
246,6884,KA Pollard,UT Yadav,0.263157894736842,0.526315789473684,0.105263157894737,0,0.0526315789473684,0.0526315789473684,6.0,1.0
247,6773,KA Pollard,BE Hendricks,0.666666666666667,0.333333333333333,0,0,0,0,0.0,1.0
248,6757,KA Pollard,AJ Tye,0.4,0.2,0,0,0.2,0.2,4.0,1.0
249,6760,KA Pollard,Ankit Sharma,0.166666666666667,0.666666666666667,0,0,0,0.166666666666667,4.0,1.0
250,6822,KA Pollard,M Morkel,0.615384615384615,0.230769230769231,0,0,0.153846153846154,0,5.0,1.0
251,6856,KA Pollard,R Vinay Kumar,0.25,0.35,0.15,0,0.05,0.2,6.0,1.0
252,6806,KA Pollard,JH Kallis,0.428571428571429,0.571428571428571,0,0,0,0,5.0,1.0
253,6755,KA Pollard,AD Russell,0.428571428571429,0.428571428571429,0.0714285714285714,0,0.0714285714285714,0,2.0,1.0
254,6745,KA Pollard,A Mishra,0.443037974683544,0.265822784810127,0.0632911392405063,0,0.0506329113924051,0.177215189873418,1.0,1.0
255,6838,KA Pollard,NLTC Perera,0.235294117647059,0.235294117647059,0,0,0.235294117647059,0.294117647058824,2.0,1.0
256,6854,KA Pollard,R Sharma,0.666666666666667,0.333333333333333,0,0,0,0,2.0,1.0
257,6749,KA Pollard,AA Chavan,0.444444444444444,0.222222222222222,0,0,0.222222222222222,0.111111111111111,4.0,1.0
258,6889,KA Pollard,YS Chahal,0.333333333333333,0.433333333333333,0.0333333333333333,0,0.1,0.1,3.0,1.0
259,6783,KA Pollard,DJ Bravo,0.375,0.34375,0.0625,0,0.109375,0.109375,1.0,1.0
260,6883,KA Pollard,TS Mills,0.25,0.5,0,0,0.25,0,0.0,1.0
261,6784,KA Pollard,DJ Hussey,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,4.0,1.0
262,6820,KA Pollard,LR Shukla,0.8,0,0,0,0.2,0,4.0,1.0
263,6812,KA Pollard,KC Cariappa,0.375,0.375,0,0,0,0.25,4.0,1.0
264,6872,KA Pollard,Shivam Sharma,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0.0,1.0
265,6781,KA Pollard,D Wiese,0.4,0.4,0,0,0.2,0,4.0,1.0
266,6748,KA Pollard,A Zampa,0.166666666666667,0.5,0,0,0.166666666666667,0.166666666666667,4.0,1.0
267,6779,KA Pollard,CL White,0,0.666666666666667,0,0,0,0.333333333333333,0.0,1.0
