"KV Sharma","AS Rajpoot","3"
"MK Pandey","Harmeet Singh","5"
"F du Plessis","DW Steyn","15"
"HH Pandya","B Kumar","4"
"G Gambhir","AA Chavan","6"
"DJ Bravo","J Suchith","9"
"SP Fleming","RP Singh","9"
"MF Maharoof","DW Steyn","4"
"KB Arun Karthik","DP Nannes","4"
"A Symonds","S Narwal","6"
"A Symonds","AB Dinda","2"
"MM Sharma","TA Boult","5"
"SK Raina","TL Suman","7"
"NV Ojha","STR Binny","4"
"AT Rayudu","Imran Tahir","22"
"CH Morris","DS Kulkarni","2"
"KP Pietersen","SL Malinga","12"
"LRPL Taylor","GB Hogg","11"
"V Sehwag","YK Pathan","4"
"AM Rahane","RJ Harris","8"
"DA Miller","RN ten Doeschate","2"
"WP Saha","CJ Anderson","3"
"HM Amla","STR Binny","8"
"KD Karthik","RS Bopara","2"
"Yuvraj Singh","TG Southee","27"
"AT Rayudu","AD Mathews","8"
"KK Nair","Azhar Mahmood","2"
"AD Mathews","SL Malinga","4"
"KV Sharma","HV Patel","7"
"Umar Gul","SR Watson","1"
"DR Smith","JP Duminy","7"
"EJG Morgan","DJ Hussey","5"
"Sandeep Sharma","CH Morris","3"
"PA Patel","JP Faulkner","13"
"AS Raut","BA Bhatt","2"
"PA Patel","YK Pathan","37"
"KM Jadhav","YK Pathan","3"
"KV Sharma","A Choudhary","2"
"CL White","R Sharma","23"
"S Dhawan","T Thushara","2"
"RR Pant","AR Patel","3"
"SA Yadav","BCJ Cutting","4"
"PP Chawla","Umar Gul","3"
"JP Faulkner","Anureet Singh","4"
"AD Mathews","HH Pandya","4"
"AC Blizzard","R Bhatia","4"
"A Mishra","NLTC Perera","1"
"A Mishra","Azhar Mahmood","4"
"PA Patel","P Kumar","59"
"AM Rahane","GS Sandhu","12"
"CH Gayle","P Parameswaran","7"
"MA Agarwal","SK Trivedi","4"
"R Vinay Kumar","JA Morkel","1"
"RJ Harris","V Kohli","5"
"AA Bilakhia","SK Warne","3"
"DA Warner","Sandeep Sharma","63"
"A Ashish Reddy","R Vinay Kumar","11"
"KK Nair","PJ Sangwan","11"
"MS Dhoni","T Shamsi","11"
"SP Goswami","M Kartik","14"
"MK Pandey","AL Menaria","4"
"MEK Hussey","DS Kulkarni","19"
"AD Russell","BB Sran","5"
"SPD Smith","Mustafizur Rahman","13"
"DR Smith","JP Faulkner","32"
